Time,Mean,Lower,Upper,Threshold
-2,3600,3540,3650,
-1,3610,3560,3660,
0,3610,3550,3660,
1,3680,3610,3750,3620
2,3750,3700,3800,3730
3,3800,3750,3860,3820
4,3850,3820,3890,3820
5,3850,3810,3880,3820
6,3850,3810,3890,3820
7,3850,3820,3890,3820
8,3860,3820,3900,3820
9,3860,3810,3900,3820
10,3870,3820,3910,3820
11,3840,3790,3890,3820
12,3870,3840,3910,3820
13,3880,3840,3910,3820
14,3880,3830,3930,3820
15,3850,3810,3890,3820
16,3870,3840,3910,3820
17,3850,3810,3890,3820
