Time,Mean,Lower,Upper,Threshold
-1.00,2.39,2.36,2.43,
0.00,2.40,2.36,2.44,
1.00,2.46,2.40,2.52,2.44
2.00,2.52,2.46,2.58,2.47
3.00,2.54,2.47,2.61,2.52
4.00,2.56,2.50,2.62,2.52
5.00,2.56,2.51,2.62,2.52
6.00,2.57,2.51,2.63,2.52
7.00,2.57,2.52,2.62,2.52
8.00,2.58,2.53,2.63,2.52
